|Run	|Epoch	|Trial	$TrialName	#Err	#SSE	#AvgSSE	#CosDiff
0	11	6	evt_22	1	1.751	0.07005	0.6729
0	11	7	evt_16	1	0.3291	0.01317	0.8927
0	11	8	evt_1	1	0.3163	0.01265	0.9239
0	11	9	evt_7	1	0.9878	0.03951	0.8392
0	11	10	evt_8	0	0	0	0.9565
0	11	11	evt_3	1	0.9297	0.03719	0.8349
0	11	12	evt_20	1	1.121	0.04485	0.7992
0	11	13	evt_17	1	0.3246	0.01299	0.9323
0	11	14	evt_23	1	0.5015	0.02006	0.8748
0	11	15	evt_2	1	0.8243	0.03297	0.829
0	11	16	evt_18	1	0.6826	0.0273	0.8669
0	11	17	evt_19	1	1.632	0.06529	0.6853
0	11	18	evt_15	1	0.4293	0.01717	0.9214
0	11	19	evt_4	1	1.006	0.04023	0.834
0	11	20	evt_14	1	0.4945	0.01978	0.9082
0	11	21	evt_10	1	2.554	0.1022	0.6098
0	11	22	evt_0	1	2.154	0.08616	0.6858
0	11	23	evt_9	1	2.012	0.0805	0.701
0	12	0	evt_11	1	1.048	0.04191	0.8098
0	12	1	evt_21	1	0.2589	0.01035	0.9286
0	12	2	evt_5	1	0.4861	0.01944	0.9125
0	12	3	evt_1	1	0.2857	0.01143	0.9313
0	12	4	evt_10	1	2.782	0.1113	0.5618
0	12	5	evt_4	1	0.6893	0.02757	0.8611
0	12	6	evt_12	0	0	0	0.9844
0	12	7	evt_0	1	1.891	0.07564	0.7365
0	12	8	evt_17	1	0.3423	0.01369	0.9405
0	12	9	evt_8	0	0	0	0.97
0	12	10	evt_3	1	0.5991	0.02397	0.8331
0	12	11	evt_13	1	1.704	0.06817	0.7192
0	12	12	evt_2	1	0.3046	0.01218	0.9352
0	12	13	evt_19	1	1.458	0.05834	0.7236
0	12	14	evt_23	1	1.574	0.06294	0.6927
0	12	15	evt_16	1	0.8044	0.03218	0.855
0	12	16	evt_7	1	0.5573	0.02229	0.872
0	12	17	evt_20	1	0.4365	0.01746	0.8676
0	12	18	evt_6	1	0.6344	0.02538	0.834
0	12	19	evt_22	1	0.823	0.03292	0.8452
0	12	20	evt_18	1	0.6411	0.02564	0.8531
0	12	21	evt_14	1	0.4781	0.01912	0.9097
0	12	22	evt_15	1	0.3562	0.01425	0.9432
0	12	23	evt_9	1	1.008	0.04031	0.8463
0	13	0	evt_0	1	1.482	0.05928	0.7589
0	13	1	evt_12	0	0	0	0.9833
0	13	2	evt_18	0	0	0	0.9152
0	13	3	evt_8	0	0	0	0.9771
0	13	4	evt_2	0	0	0	0.968
0	13	5	evt_5	1	0.4702	0.01881	0.9234
0	13	6	evt_15	1	0.3401	0.0136	0.93
0	13	7	evt_21	1	0.255	0.0102	0.9396
0	13	8	evt_23	1	0.7531	0.03012	0.8689
0	13	9	evt_10	1	1.648	0.0659	0.716
0	13	10	evt_4	1	0.8163	0.03265	0.8554
0	13	11	evt_14	1	0.4347	0.01739	0.9095
0	13	12	evt_20	1	1.632	0.06526	0.7358
0	13	13	evt_13	1	1.489	0.05957	0.7385
0	13	14	evt_9	1	0.9664	0.03866	0.8539
0	13	15	evt_16	1	0.2936	0.01175	0.8794
0	13	16	evt_6	1	0.5515	0.02206	0.8825
0	13	17	evt_11	1	0.5198	0.02079	0.8946
0	13	18	evt_7	1	0.2781	0.01112	0.9258
0	13	19	evt_1	0	0	0	0.9325
0	13	20	evt_19	1	1.037	0.04146	0.822
0	13	21	evt_17	1	0.2804	0.01121	0.9509
